,DRB QCI,DL PCDP Bytes,UL PDCP Bytes,PLMN ID,Interface type,UE ID,Timestamp,Test ID
578,0.0,0.0,0.0,b'111',x2-u,b'00009',263.52767610549927,3
579,0.0,0.0,0.0,b'111',x2-u,b'00003',263.52767610549927,3
580,0.0,0.0,0.0,b'111',x2-u,b'00005',263.538302898407,3
581,0.0,0.0,0.0,b'111',x2-u,b'00001',263.538302898407,3
582,0.0,0.0,0.0,b'111',x2-u,b'00010',263.538302898407,3
583,0.0,0.0,0.0,b'111',x2-u,b'00007',263.54848313331604,3
584,0.0,0.0,0.0,b'111',x2-u,b'00002',291.9332387447357,3
585,0.0,0.0,0.0,b'111',x2-u,b'00003',291.9332387447357,3
586,0.0,0.0,0.0,b'111',x2-u,b'00004',291.9332387447357,3
587,0.0,0.0,0.0,b'111',x2-u,b'00010',291.9332387447357,3
588,0.0,0.0,0.0,b'111',x2-u,b'00009',291.94722628593445,3
589,0.0,0.0,0.0,b'111',x2-u,b'00006',291.94722628593445,3
590,0.0,0.0,0.0,b'111',x2-u,b'00011',291.94722628593445,3
591,0.0,0.0,0.0,b'111',x2-u,b'00012',291.94722628593445,3
592,0.0,0.0,0.0,b'111',x2-u,b'00005',291.94722628593445,3
593,0.0,0.0,0.0,b'111',x2-u,b'00001',291.9586043357849,3
594,0.0,0.0,0.0,b'111',x2-u,b'00005',291.9586043357849,3
595,0.0,0.0,0.0,b'111',x2-u,b'00010',291.9586043357849,3
596,0.0,0.0,0.0,b'111',x2-u,b'00007',291.96964406967163,3
597,0.0,0.0,0.0,b'111',x2-u,b'00010',316.35215997695923,3
598,0.0,0.0,0.0,b'111',x2-u,b'00004',316.35215997695923,3
599,0.0,0.0,0.0,b'111',x2-u,b'00002',316.35215997695923,3
600,0.0,0.0,0.0,b'111',x2-u,b'00003',316.35215997695923,3
601,0.0,0.0,0.0,b'111',x2-u,b'00001',316.35215997695923,3
602,0.0,0.0,0.0,b'111',x2-u,b'00005',316.3657624721527,3
603,0.0,0.0,0.0,b'111',x2-u,b'00009',316.3657624721527,3
604,0.0,0.0,0.0,b'111',x2-u,b'00012',316.3657624721527,3
605,0.0,0.0,0.0,b'111',x2-u,b'00011',316.3657624721527,3
606,0.0,0.0,0.0,b'111',x2-u,b'00006',316.3657624721527,3
607,0.0,0.0,0.0,b'111',x2-u,b'00007',316.3890459537506,3
608,0.0,0.0,0.0,b'111',x2-u,b'00002',344.7732172012329,3
609,0.0,0.0,0.0,b'111',x2-u,b'00010',344.7732172012329,3
610,0.0,0.0,0.0,b'111',x2-u,b'00004',344.7732172012329,3
611,0.0,0.0,0.0,b'111',x2-u,b'00005',344.7887980937958,3
612,0.0,0.0,0.0,b'111',x2-u,b'00009',344.7887980937958,3
613,0.0,0.0,0.0,b'111',x2-u,b'00006',344.7887980937958,3
614,0.0,0.0,0.0,b'111',x2-u,b'00003',344.7887980937958,3
615,0.0,0.0,0.0,b'111',x2-u,b'00012',344.7887980937958,3
616,0.0,0.0,0.0,b'111',x2-u,b'00011',344.7887980937958,3
617,0.0,0.0,0.0,b'111',x2-u,b'00001',344.8010549545288,3
618,0.0,0.0,0.0,b'111',x2-u,b'00007',344.8131151199341,3
619,0.0,0.0,0.0,b'111',x2-u,b'00002',373.21730160713196,3
620,0.0,0.0,0.0,b'111',x2-u,b'00004',373.21730160713196,3
